nome,url,Total de pullRequests,Data de Atualizacao,Total de releases,Total de issues abertas,Total de issues fechadas
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,74,2020-03-06T00:56:03Z,0,299,256
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,151,2020-03-06T02:52:12Z,0,110,30
electron/electron,https://github.com/electron/electron,8512,2020-03-06T02:49:35Z,528,12505,11388
vinta/awesome-python,https://github.com/vinta/awesome-python,453,2020-03-06T01:54:22Z,0,162,160
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,12,2020-03-06T02:47:40Z,0,291,55
facebook/create-react-app,https://github.com/facebook/create-react-app,1709,2020-03-06T02:27:50Z,73,5509,5083
public-apis/public-apis,https://github.com/public-apis/public-apis,771,2020-03-06T02:19:53Z,0,122,119
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,248,2020-03-06T02:47:30Z,0,306,281
axios/axios,https://github.com/axios/axios,302,2020-03-06T02:38:57Z,22,2158,1898
golang/go,https://github.com/golang/go,0,2020-03-06T02:48:55Z,0,36517,31092
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,301,2020-03-06T01:37:42Z,0,157,78
nodejs/node,https://github.com/nodejs/node,2234,2020-03-06T02:46:52Z,149,11217,10270
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,859,2020-03-06T02:19:37Z,0,230,216
daneden/animate.css,https://github.com/daneden/animate.css,136,2020-03-06T01:23:00Z,19,692,672
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,268,2020-03-06T02:27:48Z,3,343,208
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,41869,2020-03-06T02:48:58Z,374,33890,31791
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,142,2020-03-06T02:48:05Z,0,123,74
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,1403,2020-03-06T01:47:43Z,289,19428,16792
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,175,2020-03-06T00:14:34Z,35,15611,10457
tensorflow/models,https://github.com/tensorflow/models,1879,2020-03-06T02:31:59Z,10,5115,4040
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,74,2020-03-06T00:56:03Z,0,299,256
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,151,2020-03-06T02:52:12Z,0,110,30
electron/electron,https://github.com/electron/electron,8512,2020-03-06T02:49:35Z,528,12505,11388
vinta/awesome-python,https://github.com/vinta/awesome-python,453,2020-03-06T01:54:22Z,0,162,160
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,12,2020-03-06T02:47:40Z,0,291,55
facebook/create-react-app,https://github.com/facebook/create-react-app,1709,2020-03-06T02:27:50Z,73,5509,5083
public-apis/public-apis,https://github.com/public-apis/public-apis,771,2020-03-06T02:19:53Z,0,122,119
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,248,2020-03-06T02:47:30Z,0,306,281
axios/axios,https://github.com/axios/axios,302,2020-03-06T02:38:57Z,22,2158,1898
golang/go,https://github.com/golang/go,0,2020-03-06T02:48:55Z,0,36517,31092
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,301,2020-03-06T01:37:42Z,0,157,78
nodejs/node,https://github.com/nodejs/node,2234,2020-03-06T02:46:52Z,149,11217,10270
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,859,2020-03-06T02:19:37Z,0,230,216
daneden/animate.css,https://github.com/daneden/animate.css,136,2020-03-06T01:23:00Z,19,692,672
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,268,2020-03-06T02:27:48Z,3,343,208
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,41869,2020-03-06T02:48:58Z,374,33890,31791
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,142,2020-03-06T02:48:05Z,0,123,74
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,1403,2020-03-06T01:47:43Z,289,19428,16792
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,175,2020-03-06T00:14:34Z,35,15611,10457
tensorflow/models,https://github.com/tensorflow/models,1879,2020-03-06T02:31:59Z,10,5115,4040
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,74,2020-03-06T00:56:03Z,0,299,256
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,151,2020-03-06T02:52:12Z,0,110,30
electron/electron,https://github.com/electron/electron,8512,2020-03-06T02:49:35Z,528,12505,11388
vinta/awesome-python,https://github.com/vinta/awesome-python,453,2020-03-06T01:54:22Z,0,162,160
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,12,2020-03-06T02:47:40Z,0,291,55
facebook/create-react-app,https://github.com/facebook/create-react-app,1709,2020-03-06T02:27:50Z,73,5509,5083
public-apis/public-apis,https://github.com/public-apis/public-apis,771,2020-03-06T02:19:53Z,0,122,119
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,248,2020-03-06T02:47:30Z,0,306,281
axios/axios,https://github.com/axios/axios,302,2020-03-06T02:38:57Z,22,2158,1898
golang/go,https://github.com/golang/go,0,2020-03-06T02:48:55Z,0,36517,31092
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,301,2020-03-06T01:37:42Z,0,157,78
nodejs/node,https://github.com/nodejs/node,2234,2020-03-06T02:46:52Z,149,11217,10270
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,859,2020-03-06T02:19:37Z,0,230,216
daneden/animate.css,https://github.com/daneden/animate.css,136,2020-03-06T01:23:00Z,19,692,672
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,268,2020-03-06T02:27:48Z,3,343,208
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,41869,2020-03-06T02:48:58Z,374,33890,31791
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,142,2020-03-06T02:48:05Z,0,123,74
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,1403,2020-03-06T01:47:43Z,289,19428,16792
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,175,2020-03-06T00:14:34Z,35,15611,10457
tensorflow/models,https://github.com/tensorflow/models,1879,2020-03-06T02:31:59Z,10,5115,4040
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,74,2020-03-06T00:56:03Z,0,299,256
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,151,2020-03-06T02:52:12Z,0,110,30
electron/electron,https://github.com/electron/electron,8512,2020-03-06T02:49:35Z,528,12505,11388
vinta/awesome-python,https://github.com/vinta/awesome-python,453,2020-03-06T01:54:22Z,0,162,160
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,12,2020-03-06T02:47:40Z,0,291,55
facebook/create-react-app,https://github.com/facebook/create-react-app,1709,2020-03-06T02:27:50Z,73,5509,5083
public-apis/public-apis,https://github.com/public-apis/public-apis,771,2020-03-06T02:19:53Z,0,122,119
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,248,2020-03-06T02:47:30Z,0,306,281
axios/axios,https://github.com/axios/axios,302,2020-03-06T02:38:57Z,22,2158,1898
golang/go,https://github.com/golang/go,0,2020-03-06T02:48:55Z,0,36517,31092
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,301,2020-03-06T01:37:42Z,0,157,78
nodejs/node,https://github.com/nodejs/node,2234,2020-03-06T02:46:52Z,149,11217,10270
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,859,2020-03-06T02:19:37Z,0,230,216
daneden/animate.css,https://github.com/daneden/animate.css,136,2020-03-06T01:23:00Z,19,692,672
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,268,2020-03-06T02:27:48Z,3,343,208
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,41869,2020-03-06T02:48:58Z,374,33890,31791
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,142,2020-03-06T02:48:05Z,0,123,74
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,1403,2020-03-06T01:47:43Z,289,19428,16792
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,175,2020-03-06T00:14:34Z,35,15611,10457
tensorflow/models,https://github.com/tensorflow/models,1879,2020-03-06T02:31:59Z,10,5115,4040
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,74,2020-03-06T00:56:03Z,0,299,256
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,151,2020-03-06T02:52:12Z,0,110,30
electron/electron,https://github.com/electron/electron,8512,2020-03-06T02:49:35Z,528,12505,11388
vinta/awesome-python,https://github.com/vinta/awesome-python,453,2020-03-06T01:54:22Z,0,162,160
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,12,2020-03-06T02:47:40Z,0,291,55
facebook/create-react-app,https://github.com/facebook/create-react-app,1709,2020-03-06T02:27:50Z,73,5509,5083
public-apis/public-apis,https://github.com/public-apis/public-apis,771,2020-03-06T02:19:53Z,0,122,119
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,248,2020-03-06T02:47:30Z,0,306,281
axios/axios,https://github.com/axios/axios,302,2020-03-06T02:38:57Z,22,2158,1898
golang/go,https://github.com/golang/go,0,2020-03-06T02:48:55Z,0,36517,31092
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,301,2020-03-06T01:37:42Z,0,157,78
nodejs/node,https://github.com/nodejs/node,2234,2020-03-06T02:46:52Z,149,11217,10270
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,859,2020-03-06T02:19:37Z,0,230,216
daneden/animate.css,https://github.com/daneden/animate.css,136,2020-03-06T01:23:00Z,19,692,672
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,268,2020-03-06T02:27:48Z,3,343,208
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,41869,2020-03-06T02:48:58Z,374,33890,31791
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,142,2020-03-06T02:48:05Z,0,123,74
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,1403,2020-03-06T01:47:43Z,289,19428,16792
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,175,2020-03-06T00:14:34Z,35,15611,10457
